,presentation,bnf_code,dose_per_unit_x,new_ome_multiplier,ome_dose,name,unit_dose,dose_per_unit_y,total_ome,ome_diff,ome_diff_multi
503,Actiq 200microgram loz with integral oromucosal applicator,0407020A0BCAAAI,0.2,100.0,20.0,Fentanyl 200microgram lozenges,1,0.2,26.0,6.0,1.3
504,Mabron 100mg modified-release tablets (Morningside),040702040BHAAAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
505,Morphine hydrochloride 25mg/5ml oral solution,0407020P0AAATAT,5.0,1.0,5.0,Morphine hydrochloride 25mg/5ml oral solution,1,5.0,5.0,0.0,1.0
506,Reletrans 20micrograms/hour transdermal patches,0407020B0BKADAJ,3.36,100.0,336.0,Buprenorphine 20micrograms/hour transdermal patches,1,3.36,336.0,0.0,1.0
507,Remedeine Forte tablets,0407010N0BGABAI,30.0,0.1,3.0,Co-dydramol 30mg/500mg tablets,1,30.0,3.0,0.0,1.0
508,Oxeltra 20mg modified-release tablets,0407020ADBLAHAG,20.0,2.0,40.0,Oxycodone 20mg modified-release tablets,1,20.0,30.0,-10.0,0.75
509,Turgeon 52.5micrograms/hour transdermal patches,0407020B0BSABAF,5.04,100.0,504.0,Buprenorphine 52.5micrograms/hour transdermal patches,1,5.04,504.0,0.0,1.0
510,Opiodur 25micrograms/hour transdermal patches (Zentiva),0407020A0BRALAE,1.8,100.0,180.0,Fentanyl 25micrograms/hour transdermal patches,1,1.8,180.0,0.0,1.0
511,MST Continus 15mg tablets,0407020Q0BBALCF,15.0,1.0,15.0,Morphine 15mg modified-release tablets,1,15.0,15.0,0.0,1.0
512,Fentanyl 1.2mg lozenges,0407020A0AAANAN,1.2,100.0,120.0,Fentanyl 1.2mg lozenges,1,1.2,156.0,36.0,1.3
513,Tilofyl 75micrograms/hour transdermal patches,0407020A0BDACAG,5.4,100.0,540.0,Fentanyl 75micrograms/hour transdermal patches,1,5.4,540.0,0.0,1.0
514,Diamorphine 250mg/5ml oral solution,0407020K0AAFFFF,50.0,1.0,50.0,Diamorphine 250mg/5ml oral solution,1,50.0,50.0,0.0,1.0
515,Diamorphine 5mg powder for solution for injection ampoules,0407020K0AAAAAA,5.0,3.0,15.0,Diamorphine 5mg powder for solution for injection ampoules,1,5.0,15.0,0.0,1.0
516,Marol 150mg modified-release tablets (Teva),040702040BNAEAD,150.0,0.1,15.0,Tramadol 150mg modified-release tablets,1,150.0,15.0,0.0,1.0
517,Morphine sulfate 30mg/1ml solution for injection ampoules,0407020Q0AAADAD,30.0,2.0,60.0,Morphine sulfate 30mg/1ml solution for injection ampoules,1,30.0,60.0,0.0,1.0
518,Lynlor 5mg capsules,0407020ADBHAAAC,5.0,2.0,10.0,Oxycodone 5mg capsules,1,5.0,7.5,-2.5,0.75
519,Reltebon 15mg modified-release tablets,0407020ADBKAFAS,15.0,2.0,30.0,Oxycodone 15mg modified-release tablets,1,15.0,22.5,-7.5,0.75
520,Busiete 20micrograms/hour transdermal patches,0407020B0BRACAJ,3.36,100.0,336.0,Buprenorphine 20micrograms/hour transdermal patches,1,3.36,336.0,0.0,1.0
521,Opiodur 50micrograms/hour transdermal patches (Zentiva),0407020A0BRAMAF,3.6,100.0,360.0,Fentanyl 50micrograms/hour transdermal patches,1,3.6,360.0,0.0,1.0
522,Sevodyne 15micrograms/hour transdermal patches,0407020B0BMADAK,2.52,100.0,252.0,Buprenorphine 15micrograms/hour transdermal patches,1,2.52,252.0,0.0,1.0
523,Temgesic 300micrograms/1ml solution for injection ampoules,0407020B0BBABAA,0.3,100.0,30.0,Buprenorphine 300micrograms/1ml solution for injection ampoules,1,0.3,30.0,0.0,1.0
524,Zomorph 30mg modified-release capsules,0407020Q0BKABEG,30.0,1.0,30.0,Morphine 30mg modified-release capsules,1,30.0,30.0,0.0,1.0
525,Fentanyl 75micrograms/hour transdermal patches,0407020A0AAAGAG,5.4,100.0,540.0,Fentanyl 75micrograms/hour transdermal patches,1,5.4,540.0,0.0,1.0
526,Tapentadol 50mg tablets,0407020AGAAAAAA,50.0,0.4,20.0,Tapentadol 50mg tablets,1,50.0,20.0,0.0,1.0
527,Zamadol 50mg capsules,040702040BDAAAA,50.0,0.1,5.0,Tramadol 50mg capsules,1,50.0,5.0,0.0,1.0
528,Co-dydramol 10mg/500mg/5ml oral solution,0407010N0AAACAC,2.0,0.1,0.2,Co-dydramol 10mg/500mg/5ml oral solution,1,2.0,0.2,0.0,1.0
529,Morphine 100mg modified-release capsules,0407020Q0AAEBEB,100.0,1.0,100.0,Morphine 100mg modified-release capsules,1,100.0,100.0,0.0,1.0
530,Fentanyl 600microgram buccal tablets sugar free,0407020A0AABFBF,0.6,130.0,78.0,Fentanyl 600microgram buccal tablets sugar free,1,0.6,78.0,0.0,1.0
531,Tephine 400microgram sublingual tablets,0407020B0BFABAD,0.4,60.0,24.0,Buprenorphine 400microgram sublingual tablets sugar free,1,0.4,24.0,0.0,1.0
532,Pethidine 50mg tablets,0407020V0AAACAC,50.0,0.1,5.0,Pethidine 50mg tablets,1,50.0,5.0,0.0,1.0
533,Morphine 90mg modified-release capsules,0407020Q0AADUDU,90.0,1.0,90.0,Morphine 90mg modified-release capsules,1,90.0,90.0,0.0,1.0
534,Victanyl 12micrograms/hour transdermal patches,0407020A0BMAEAU,0.864,100.0,86.4,Fentanyl 12micrograms/hour transdermal patches,1,0.864,86.4,0.0,1.0
535,Carlosafine 70micrograms/hour transdermal patches,0407020B0BTACAG,6.72,100.0,672.0,Buprenorphine 70micrograms/hour transdermal patches,1,6.72,672.0,0.0,1.0
536,Brimisol PR 100mg tablets,040702040BWAAAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
537,Diamorphine 100mg capsules,0407020K0AACZCZ,100.0,1.0,100.0,Diamorphine 100mg capsules,1,100.0,100.0,0.0,1.0
538,Actiq 800microgram loz with integral oromucosal applicator,0407020A0BCADAL,0.8,100.0,80.0,Fentanyl 800microgram lozenges,1,0.8,104.0,24.0,1.3
539,Longtec 10mg modified-release tablets,0407020ADBEABAF,10.0,2.0,20.0,Oxycodone 10mg modified-release tablets,1,10.0,15.0,-5.0,0.75
540,Medocodene 30mg/500mg capsules,0407010F0BRAAAD,30.0,0.1,3.0,Co-codamol 30mg/500mg capsules,1,30.0,3.0,0.0,1.0
541,Co-codamol 30mg/500mg effervescent tablets,0407010F0AAAFAF,30.0,0.1,3.0,Co-codamol 30mg/500mg effervescent tablets,1,30.0,3.0,0.0,1.0
542,Fentanyl 100micrograms/hour transdermal patches,0407020A0AAAHAH,7.2,100.0,720.0,Fentanyl 100micrograms/hour transdermal patches,1,7.2,720.0,0.0,1.0
543,Targinact 40mg/20mg modified-release tablets,0407020AFBBADAD,40.0,2.0,80.0,Oxycodone 40mg / Naloxone 20mg modified-release tablets,1,40.0,60.0,-20.0,0.75
544,Remedeine tablets,0407010N0BGAAAH,20.0,0.1,2.0,Co-dydramol 20mg/500mg tablets,1,20.0,2.0,0.0,1.0
545,Oxeltra 5mg modified-release tablets,0407020ADBLAAAK,5.0,2.0,10.0,Oxycodone 5mg modified-release tablets,1,5.0,7.5,-2.5,0.75
546,Fentalis Reservoir 50micrograms/hour transdermal patches,0407020A0BGABAF,3.6,100.0,360.0,Fentanyl 50micrograms/hour transdermal patches,1,3.6,360.0,0.0,1.0
547,Diamorphine 500mg powder for solution for injection ampoules,0407020K0AAAGAG,500.0,3.0,1500.0,Diamorphine 500mg powder for solution for injection ampoules,1,500.0,1500.0,0.0,1.0
548,Palladone SR 16mg capsules,040702050BBAFAA,16.0,5.0,80.0,Hydromorphone 16mg modified-release capsules,1,16.0,80.0,0.0,1.0
549,Recivit 400microgram sublingual tablets,0407020A0BTABAZ,0.4,130.0,52.0,Fentanyl 400microgram sublingual tablets sugar free,1,0.4,52.0,0.0,1.0
550,Durogesic DTrans 75micrograms/hour transdermal patches,0407020A0BBAKAG,5.4,100.0,540.0,Fentanyl 75micrograms/hour transdermal patches,1,5.4,540.0,0.0,1.0
551,Oramorph 100mg/5ml oral solution unit dose vials,0407020Q0BCAJCU,100.0,1.0,100.0,Morphine sulfate 100mg/5ml oral solution unit dose vials sugar free,5,20.0,20.0,-80.0,0.2
552,Morphine sulfate 1g/5ml oral solution,0407020Q0AAERER,200.0,1.0,200.0,Morphine sulfate 1g/5ml oral solution,1,200.0,200.0,0.0,1.0
553,Co-codamol 8mg/500mg effervescent tablets,0407010F0AAACAC,8.0,0.1,0.8,Co-codamol 8mg/500mg effervescent tablets,1,8.0,0.8,0.0,1.0
554,Marol 200mg modified-release tablets (Teva),040702040BNADAE,200.0,0.1,20.0,Tramadol 200mg modified-release tablets,1,200.0,20.0,0.0,1.0
555,Morphine 15mg modified-release tablets,0407020Q0AACFCF,15.0,1.0,15.0,Morphine 15mg modified-release tablets,1,15.0,15.0,0.0,1.0
556,Maxitram SR 150mg capsules,040702040BPACAI,150.0,0.1,15.0,Tramadol 150mg modified-release capsules,1,150.0,15.0,0.0,1.0
557,Tramadol 150mg modified-release tablets,040702040AAADAD,150.0,0.1,15.0,Tramadol 150mg modified-release tablets,1,150.0,15.0,0.0,1.0
558,Hydromorphone 1.3mg capsules,040702050AAAEAE,1.3,5.0,6.5,Hydromorphone 1.3mg capsules,1,1.3,6.5,0.0,1.0
559,Busiete 5micrograms/hour transdermal patches,0407020B0BRAAAH,0.84,100.0,84.0,Buprenorphine 5micrograms/hour transdermal patches,1,0.84,84.0,0.0,1.0
560,PecFent 400micrograms/dose nasal spray,0407020A0BPABBP,3.2,160.0,512.0,Fentanyl 400micrograms/dose nasal spray,1,0.4,64.0,-448.0,0.125
561,Onexila XL 40mg tablets,0407020ADBQACAH,40.0,2.0,80.0,Oxycodone 40mg modified-release tablets,1,40.0,60.0,-20.0,0.75
562,Fentanyl 200micrograms/dose nasal spray,0407020A0AABLBL,2.0,160.0,320.0,Fentanyl 200micrograms/dose nasal spray,1,0.2,32.0,-288.0,0.1
563,Recivit 267microgram sublingual tablets,0407020A0BTADBZ,0.267,130.0,34.71,Fentanyl 267microgram sublingual tablets sugar free,1,0.267,34.71,0.0,1.0
564,Oldaram 150mg modified-release tablets,040702040BQABAD,150.0,0.1,15.0,Tramadol 150mg modified-release tablets,1,150.0,15.0,0.0,1.0
565,Oxylan 20mg modified-release tablets (Actavis),0407020ADBFAHAG,20.0,2.0,40.0,Oxycodone 20mg modified-release tablets,1,20.0,30.0,-10.0,0.75
566,Methadone 50mg/5ml solution for injection ampoules,0407020M0AAANAN,50.0,3.0,150.0,Methadone 50mg/5ml solution for injection ampoules,5,10.0,30.0,-120.0,0.2
567,Mabron 150mg modified-release tablets (Teva),040702040BHAEAD,150.0,0.1,15.0,Tramadol 150mg modified-release tablets,1,150.0,15.0,0.0,1.0
568,Eroset 500mg/10mg tablets,0407010N0BIAAAA,10.0,0.1,1.0,Co-dydramol 10mg/500mg tablets,1,10.0,1.0,0.0,1.0
569,Oxycodone 10mg/1ml solution for injection ampoules,0407020ADAAALAL,10.0,2.0,20.0,Oxycodone 10mg/1ml solution for injection ampoules,1,10.0,30.0,10.0,1.5
570,Morphgesic SR 100mg tablets,0407020Q0BNADAH,100.0,1.0,100.0,Morphine 100mg modified-release tablets,1,100.0,100.0,0.0,1.0
571,Yemex 100micrograms/hour transdermal patches,0407020A0BVAEAH,7.2,100.0,720.0,Fentanyl 100micrograms/hour transdermal patches,1,7.2,720.0,0.0,1.0
572,Cynril 600microgram loz with integral oromucosal applicator,0407020A0BWACAK,0.6,100.0,60.0,Fentanyl 600microgram lozenges,1,0.6,78.0,18.0,1.3
573,Durogesic 100micrograms transdermal patches,0407020A0BBADAH,7.2,100.0,720.0,Fentanyl 100micrograms/hour transdermal patches,1,7.2,720.0,0.0,1.0
574,Carexil 80mg modified-release tablets,0407020ADBDAEAI,80.0,2.0,160.0,Oxycodone 80mg modified-release tablets,1,80.0,120.0,-40.0,0.75
575,Leveraxo 80mg modified-release tablets,0407020ADBPAGAI,80.0,2.0,160.0,Oxycodone 80mg modified-release tablets,1,80.0,120.0,-40.0,0.75
576,Matrifen 75micrograms/hour transdermal patches,0407020A0BEADAG,5.4,100.0,540.0,Fentanyl 75micrograms/hour transdermal patches,1,5.4,540.0,0.0,1.0
577,Tramadol 150mg modified-release capsules,040702040AAAIAI,150.0,0.1,15.0,Tramadol 150mg modified-release capsules,1,150.0,15.0,0.0,1.0
578,MXL 120mg capsules,0407020Q0BIADDV,120.0,1.0,120.0,Morphine 120mg modified-release capsules,1,120.0,120.0,0.0,1.0
579,Morphgesic SR 10mg tablets,0407020Q0BNAAAK,10.0,1.0,10.0,Morphine 10mg modified-release tablets,1,10.0,10.0,0.0,1.0
580,Migraleve Yellow tablets,0407010F0BXAAAA,8.0,0.1,0.8,Co-codamol 8mg/500mg tablets,1,8.0,0.8,0.0,1.0
581,Renocontin 15mg modified-release tablets,0407020ADBRACAS,15.0,2.0,30.0,Oxycodone 15mg modified-release tablets,1,15.0,22.5,-7.5,0.75
582,Osmanil 12micrograms/hour transdermal patches,0407020A0BLAEAU,0.864,100.0,86.4,Fentanyl 12micrograms/hour transdermal patches,1,0.864,86.4,0.0,1.0
583,Diconal tablets,0407020H0BBAAAB,10.0,0.5,5.0,Dipipanone 10mg / Cyclizine 30mg tablets,1,10.0,5.0,0.0,1.0
584,Codeine 30mg/5ml oral solution,0407020C0AAAPAP,6.0,0.1,0.6,Codeine 30mg/5ml oral solution,1,6.0,0.6,0.0,1.0
585,Dolocodon PR 10mg tablets,0407020ADBIADAF,10.0,2.0,20.0,Oxycodone 10mg modified-release tablets,1,10.0,15.0,-5.0,0.75
586,Oxycodone 5mg / Naloxone 2.5mg modified-release tablets,0407020AFAAACAC,5.0,2.0,10.0,Oxycodone 5mg / Naloxone 2.5mg modified-release tablets,1,5.0,7.5,-2.5,0.75
587,Oxycodone 30mg suppositories,0407020Z0AAAAAA,30.0,2.0,60.0,Oxycodone hydrochloride 30mg suppositories,1,30.0,45.0,-15.0,0.75
588,Tramadol 100mg modified-release capsules,040702040AAAHAH,100.0,0.1,10.0,Tramadol 100mg modified-release capsules,1,100.0,10.0,0.0,1.0
589,Oxeltra 10mg modified-release tablets,0407020ADBLAFAF,10.0,2.0,20.0,Oxycodone 10mg modified-release tablets,1,10.0,15.0,-5.0,0.75
590,Zamadol SR 100mg capsules,040702040BDACAH,100.0,0.1,10.0,Tramadol 100mg modified-release capsules,1,100.0,10.0,0.0,1.0
591,Bunov 10micrograms/hour transdermal patches,0407020B0BUABAI,1.68,100.0,168.0,Buprenorphine 10micrograms/hour transdermal patches,1,1.68,168.0,0.0,1.0
592,Onexila XL 10mg tablets,0407020ADBQAAAF,10.0,2.0,20.0,Oxycodone 10mg modified-release tablets,1,10.0,15.0,-5.0,0.75
593,MXL 200mg capsules,0407020Q0BIAFEI,200.0,1.0,200.0,Morphine 200mg modified-release capsules,1,200.0,200.0,0.0,1.0
594,MST Continus suspension 20mg granules sachets,0407020Q0BBAFCV,20.0,1.0,20.0,Morphine 20mg modified-release granules sachets sugar free,1,20.0,20.0,0.0,1.0
595,Transtec 35micrograms/hour transdermal patches,0407020B0BDAAAE,3.36,100.0,336.0,Buprenorphine 35micrograms/hour transdermal patches,1,3.36,336.0,0.0,1.0
596,OxyNorm 20mg/2ml solution for injection ampoules,0407020ADBBAGAM,20.0,2.0,40.0,Oxycodone 20mg/2ml solution for injection ampoules,2,10.0,30.0,-10.0,0.75
597,Diamorphine 200mg/5ml oral solution,0407020K0AAEQEQ,40.0,1.0,40.0,Diamorphine 200mg/5ml oral solution,1,40.0,40.0,0.0,1.0
598,Buprenorphine 10micrograms/hour transdermal patches,0407020B0AAAIAI,1.68,100.0,168.0,Buprenorphine 10micrograms/hour transdermal patches,1,1.68,168.0,0.0,1.0
599,Mylafent 25micrograms/hour transdermal patches,0407020A0BUABAE,1.8,100.0,180.0,Fentanyl 25micrograms/hour transdermal patches,1,1.8,180.0,0.0,1.0
600,Methadone 5mg tablets,0407020M0AAAEAE,5.0,3.0,15.0,Methadone 5mg tablets,1,5.0,15.0,0.0,1.0
601,Zapain 30mg/500mg capsules,0407010F0BSABAD,30.0,0.1,3.0,Co-codamol 30mg/500mg capsules,1,30.0,3.0,0.0,1.0
602,Fentanyl 200microgram buccal tablets sugar free,0407020A0AABDBD,0.2,130.0,26.0,Fentanyl 200microgram buccal tablets sugar free,1,0.2,26.0,0.0,1.0
603,Pethidine 50mg/1ml solution for injection ampoules,0407020V0AAAAAA,50.0,0.24,12.0,Pethidine 50mg/1ml solution for injection ampoules,1,50.0,12.0,0.0,1.0
604,Matrifen 50micrograms/hour transdermal patches,0407020A0BEACAF,3.6,100.0,360.0,Fentanyl 50micrograms/hour transdermal patches,1,3.6,360.0,0.0,1.0
605,Tylex 30mg/500mg capsules,0407010F0BEAAAD,30.0,0.1,3.0,Co-codamol 30mg/500mg capsules,1,30.0,3.0,0.0,1.0
606,Zydol XL 400mg tablets,040702040BBAJAN,400.0,0.1,40.0,Tramadol 400mg modified-release tablets,1,400.0,40.0,0.0,1.0
607,Abtard 60mg modified-release tablets,0407020ADBMAGAQ,60.0,2.0,120.0,Oxycodone 60mg modified-release tablets,1,60.0,90.0,-30.0,0.75
608,Actiq 600microgram loz with integral oromucosal applicator,0407020A0BCACAK,0.6,100.0,60.0,Fentanyl 600microgram lozenges,1,0.6,78.0,18.0,1.3
609,Opiodur 100micrograms/hour transdermal patches (Zentiva),0407020A0BRAPAH,7.2,100.0,720.0,Fentanyl 100micrograms/hour transdermal patches,1,7.2,720.0,0.0,1.0
610,Morphine sulfate 20mg/5ml oral solution,0407020Q0AADYDY,4.0,1.0,4.0,Morphine sulfate 20mg/5ml oral solution,1,4.0,4.0,0.0,1.0
611,Co-dydramol 30mg/500mg tablets,0407010N0AAAIAI,30.0,0.1,3.0,Co-dydramol 30mg/500mg tablets,1,30.0,3.0,0.0,1.0
612,Methadone 40mg/1ml solution for injection ampoules,0407020M0AABKBK,40.0,3.0,120.0,Methadone 40mg/1ml solution for injection ampoules,1,40.0,120.0,0.0,1.0
613,Methadone 35mg/2ml solution for injection ampoules,0407020M0AABHBH,35.0,3.0,105.0,Methadone 35mg/2ml solution for injection ampoules,2,17.5,52.5,-52.5,0.5
614,DHC Continus 120mg tablets,0407020G0BBACAF,120.0,0.1,12.0,Dihydrocodeine 120mg modified-release tablets,1,120.0,12.0,0.0,1.0
615,Tapentadol 150mg modified-release tablets,0407020AGAAAEAE,150.0,0.4,60.0,Tapentadol 150mg modified-release tablets,1,150.0,60.0,0.0,1.0
616,Yemex 50micrograms/hour transdermal patches,0407020A0BVACAF,3.6,100.0,360.0,Fentanyl 50micrograms/hour transdermal patches,1,3.6,360.0,0.0,1.0
617,Zomestine 10mg modified-release tablets,0407020ADBNADAF,10.0,2.0,20.0,Oxycodone 10mg modified-release tablets,1,10.0,15.0,-5.0,0.75
618,Leveraxo 20mg modified-release tablets,0407020ADBPACAG,20.0,2.0,40.0,Oxycodone 20mg modified-release tablets,1,20.0,30.0,-10.0,0.75
619,Codeine 15mg tablets,0407020C0AAADAD,15.0,0.1,1.5,Codeine 15mg tablets,1,15.0,1.5,0.0,1.0
620,Co-codaprin 8mg/400mg dispersible tablets,0407010M0AAABAB,8.0,0.1,0.8,Co-codaprin 8mg/400mg dispersible tablets,1,8.0,0.8,0.0,1.0
621,Sevredol 50mg tablets,0407020Q0BHAFDR,50.0,1.0,50.0,Morphine 50mg tablets,1,50.0,50.0,0.0,1.0
622,Mabron 100mg modified-release tablets (Teva),040702040BHADAC,100.0,0.1,10.0,Tramadol 100mg modified-release tablets,1,100.0,10.0,0.0,1.0
623,Methadone 5mg capsules,0407020M0AABUBU,5.0,3.0,15.0,Methadone 5mg capsules,1,5.0,15.0,0.0,1.0
624,Longtec 40mg modified-release tablets,0407020ADBEADAH,40.0,2.0,80.0,Oxycodone 40mg modified-release tablets,1,40.0,60.0,-20.0,0.75
625,Palladone 1.3mg capsules,040702050BBAAAE,1.3,5.0,6.5,Hydromorphone 1.3mg capsules,1,1.3,6.5,0.0,1.0
626,Diamorphine 10mg powder for solution for injection vials,0407020K0AAEGEG,10.0,3.0,30.0,Diamorphine 10mg powder for solution for injection vials,1,10.0,30.0,0.0,1.0
627,Ixyldone 20mg modified-release tablets,0407020ADBTADAG,20.0,2.0,40.0,Oxycodone 20mg modified-release tablets,1,20.0,30.0,-10.0,0.75
628,Methadone 30mg capsules,0407020M0AABIBI,30.0,3.0,90.0,Methadone 30mg capsules,1,30.0,90.0,0.0,1.0
629,Co-dydramol 10mg/500mg oral powder sachets,0407010N0AAAFAF,10.0,0.1,1.0,,,,,,
630,Fentanyl 800microgram lozenges,0407020A0AAALAL,0.8,100.0,80.0,Fentanyl 800microgram lozenges,1,0.8,104.0,24.0,1.3
631,Tilofyl 25micrograms/hour transdermal patches,0407020A0BDAAAE,1.8,100.0,180.0,Fentanyl 25micrograms/hour transdermal patches,1,1.8,180.0,0.0,1.0
632,Palladone SR 4mg capsules,040702050BBADAG,4.0,5.0,20.0,Hydromorphone 4mg modified-release capsules,1,4.0,20.0,0.0,1.0
633,Fentanyl 400micrograms/dose nasal spray,0407020A0AABPBP,3.2,160.0,512.0,Fentanyl 400micrograms/dose nasal spray,1,0.4,64.0,-448.0,0.125
634,Co-proxamol 32.5mg/325mg/5ml oral suspension,0407010Q0AAADAD,6.5,0.1,0.65,Co-proxamol 32.5mg/325mg/5ml oral suspension,1,6.5,0.65,0.0,1.0
635,Buprenorphine 5micrograms/hour transdermal patches,0407020B0AAAHAH,0.84,100.0,84.0,Buprenorphine 5micrograms/hour transdermal patches,1,0.84,84.0,0.0,1.0
636,Reletrans 10micrograms/hour transdermal patches,0407020B0BKABAI,1.68,100.0,168.0,Buprenorphine 10micrograms/hour transdermal patches,1,1.68,168.0,0.0,1.0
637,Oxycodone 50mg/1ml solution for injection ampoules,0407020ADAAANAN,50.0,2.0,100.0,Oxycodone 50mg/1ml solution for injection ampoules,1,50.0,150.0,50.0,1.5
638,Diamorphine 30mg powder for solution for injection ampoules,0407020K0AAAEAE,30.0,3.0,90.0,Diamorphine 30mg powder for solution for injection ampoules,1,30.0,90.0,0.0,1.0
639,Yemex 75micrograms/hour transdermal patches,0407020A0BVADAG,5.4,100.0,540.0,Fentanyl 75micrograms/hour transdermal patches,1,5.4,540.0,0.0,1.0
640,Leveraxo 30mg modified-release tablets,0407020ADBPADAR,30.0,2.0,60.0,Oxycodone 30mg modified-release tablets,1,30.0,45.0,-15.0,0.75
641,Co-proxamol 32.5mg/325mg tablets,0407010Q0AAAAAA,32.5,0.1,3.25,Co-proxamol 32.5mg/325mg tablets,1,32.5,3.25,0.0,1.0
642,Oxycodone 5mg/5ml oral solution sugar free,0407020ADAAAAAA,1.0,2.0,2.0,Oxycodone 5mg/5ml oral solution sugar free,5,1.0,1.5,-0.5,0.75
643,Fentanyl 100microgram buccal tablets sugar free,0407020A0AABCBC,0.1,130.0,13.0,Fentanyl 100microgram buccal tablets sugar free,1,0.1,13.0,0.0,1.0
644,Marol 150mg modified-release tablets (Morningside),040702040BNABAD,150.0,0.1,15.0,Tramadol 150mg modified-release tablets,1,150.0,15.0,0.0,1.0
645,OxyContin 120mg modified-release tablets,0407020ADBCAFAP,120.0,2.0,240.0,Oxycodone 120mg modified-release tablets,1,120.0,180.0,-60.0,0.75
646,Morphine sulfate 50mg suppositories,0407020Q0AABVBV,50.0,1.0,50.0,Morphine sulfate 50mg suppositories,1,50.0,50.0,0.0,1.0
647,MST Continus 200mg tablets,0407020Q0BBAEAG,200.0,1.0,200.0,Morphine 200mg modified-release tablets,1,200.0,200.0,0.0,1.0
648,Transtec 70micrograms/hour transdermal patches,0407020B0BDACAG,6.72,100.0,672.0,Buprenorphine 70micrograms/hour transdermal patches,1,6.72,672.0,0.0,1.0
649,Panitaz 10micrograms/hour transdermal patches,0407020B0BLABAI,1.68,100.0,168.0,Buprenorphine 10micrograms/hour transdermal patches,1,1.68,168.0,0.0,1.0
650,Effentora 100microgram buccal tablets,0407020A0BKAABC,0.1,130.0,13.0,Fentanyl 100microgram buccal tablets sugar free,1,0.1,13.0,0.0,1.0
651,Aceon 200mg modified-release tablets,040702040BRACAE,200.0,0.1,20.0,Tramadol 200mg modified-release tablets,1,200.0,20.0,0.0,1.0
652,Reltebon 40mg modified-release tablets,0407020ADBKADAH,40.0,2.0,80.0,Oxycodone 40mg modified-release tablets,1,40.0,60.0,-20.0,0.75
653,Opiodur 100micrograms/hour transdermal patches (RX Farma),0407020A0BRAJAH,7.2,100.0,720.0,Fentanyl 100micrograms/hour transdermal patches,1,7.2,720.0,0.0,1.0
654,Fentanyl 200microgram buccal films sugar free,0407020A0AABTBT,0.2,180.0,36.0,Fentanyl 200microgram buccal films sugar free,1,0.2,26.0,-10.0,0.7222222222222222
655,Tramake 50mg capsules,040702040BCAAAA,50.0,0.1,5.0,Tramadol 50mg capsules,1,50.0,5.0,0.0,1.0
656,Meptazinol 100mg/1ml solution for injection ampoules,0407020L0AAAAAA,100.0,0.03,3.0,Meptazinol 100mg/1ml solution for injection ampoules,1,100.0,3.0,0.0,1.0
657,Mezolar Matrix 75micrograms/hour transdermal patches,0407020A0BFADAG,5.4,100.0,540.0,Fentanyl 75micrograms/hour transdermal patches,1,5.4,540.0,0.0,1.0
658,Zeridame SR 200mg tablets,040702040BLACAE,200.0,0.1,20.0,Tramadol 200mg modified-release tablets,1,200.0,20.0,0.0,1.0
659,Codeine 60mg/5ml oral solution,0407020C0AAAVAV,12.0,0.1,1.2,Codeine 60mg/5ml oral solution,1,12.0,1.2,0.0,1.0
660,Butec 15micrograms/hour transdermal patches,0407020B0BHADAK,2.52,100.0,252.0,Buprenorphine 15micrograms/hour transdermal patches,1,2.52,252.0,0.0,1.0
661,Abtard 80mg modified-release tablets,0407020ADBMAHAI,80.0,2.0,160.0,Oxycodone 80mg modified-release tablets,1,80.0,120.0,-40.0,0.75
662,Actiq 1.2mg lozenges with integral oromucosal applicator,0407020A0BCAEAN,1.2,100.0,120.0,Fentanyl 1.2mg lozenges,1,1.2,156.0,36.0,1.3
663,Shortec 50mg/1ml solution for injection ampoules,0407020ADBJAFAN,50.0,2.0,100.0,Oxycodone 50mg/1ml solution for injection ampoules,1,50.0,150.0,50.0,1.5
664,Carexil 5mg modified-release tablets,0407020ADBDAAAK,5.0,2.0,10.0,Oxycodone 5mg modified-release tablets,1,5.0,7.5,-2.5,0.75
665,Leveraxo 40mg modified-release tablets,0407020ADBPAEAH,40.0,2.0,80.0,Oxycodone 40mg modified-release tablets,1,40.0,60.0,-20.0,0.75
666,Oxycodone 20mg capsules,0407020ADAAAEAE,20.0,2.0,40.0,Oxycodone 20mg capsules,1,20.0,30.0,-10.0,0.75
667,Dromadol SR 150mg tablets,040702040BEACAD,150.0,0.1,15.0,Tramadol 150mg modified-release tablets,1,150.0,15.0,0.0,1.0
668,Osmach 25micrograms/hour transdermal patches,0407020A0BHAAAE,1.8,100.0,180.0,Fentanyl 25micrograms/hour transdermal patches,1,1.8,180.0,0.0,1.0
669,Dromadol XL 200mg tablets,040702040BEAFAE,200.0,0.1,20.0,Tramadol 200mg modified-release tablets,1,200.0,20.0,0.0,1.0
670,Morphine sulfate 3.35mg/5ml oral solution,0407020Q0AAFBFB,0.67,1.0,0.67,Morphine sulfate 3.35mg/5ml oral solution,1,0.67,0.67,0.0,1.0
671,Reletrans 5micrograms/hour transdermal patches,0407020B0BKAAAH,0.84,100.0,84.0,Buprenorphine 5micrograms/hour transdermal patches,1,0.84,84.0,0.0,1.0
